Device: cuda
============ Train epoch 0 ============
 SynthDigits| Test  Loss: 0.6091 | Test  Acc: 0.8055
 MNIST-M    | Test  Loss: 0.7633 | Test  Acc: 0.7543
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0300 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4463 | Train Acc: 0.8991
 USPS       | Train Loss: 0.0653 | Train Acc: 0.9812
 SynthDigits| Train Loss: 0.0734 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.0583 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1785 | Test  Acc: 0.9470
 SVHN       | Test  Loss: 1.1723 | Test  Acc: 0.6149
 USPS       | Test  Loss: 0.2004 | Test  Acc: 0.9392
 SynthDigits| Test  Loss: 0.6495 | Test  Acc: 0.7924
 MNIST-M    | Test  Loss: 0.7538 | Test  Acc: 0.7584
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0278 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.4007 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0301 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.0612 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.0796 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1583 | Test  Acc: 0.9574
 SVHN       | Test  Loss: 1.1368 | Test  Acc: 0.6230
 USPS       | Test  Loss: 0.1477 | Test  Acc: 0.9538
 SynthDigits| Test  Loss: 0.6314 | Test  Acc: 0.7953
 MNIST-M    | Test  Loss: 0.7753 | Test  Acc: 0.7479
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0228 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.3940 | Train Acc: 0.9246
 USPS       | Train Loss: 0.0311 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.0453 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0540 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1555 | Test  Acc: 0.9548
 SVHN       | Test  Loss: 1.1095 | Test  Acc: 0.6384
 USPS       | Test  Loss: 0.1508 | Test  Acc: 0.9516
 SynthDigits| Test  Loss: 0.6142 | Test  Acc: 0.8032
 MNIST-M    | Test  Loss: 0.7437 | Test  Acc: 0.7614
============ Train epoch 37 ============
 MNIST      | Train Loss: 0.0311 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4218 | Train Acc: 0.9044
 USPS       | Train Loss: 0.0348 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0472 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0860 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1696 | Test  Acc: 0.9483
 SVHN       | Test  Loss: 1.1671 | Test  Acc: 0.6165
 USPS       | Test  Loss: 0.1539 | Test  Acc: 0.9538
 SynthDigits| Test  Loss: 0.6036 | Test  Acc: 0.8055
 MNIST-M    | Test  Loss: 0.8299 | Test  Acc: 0.7309
============ Train epoch 38 ============
 MNIST      | Train Loss: 0.0159 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4027 | Train Acc: 0.9071
 USPS       | Train Loss: 0.0274 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0381 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0512 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1455 | Test  Acc: 0.9559
 SVHN       | Test  Loss: 1.1622 | Test  Acc: 0.6157
 USPS       | Test  Loss: 0.1466 | Test  Acc: 0.9538
 SynthDigits| Test  Loss: 0.5981 | Test  Acc: 0.8072
 MNIST-M    | Test  Loss: 0.7650 | Test  Acc: 0.7507
============ Train epoch 39 ============
 MNIST      | Train Loss: 0.0232 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4424 | Train Acc: 0.8991
 USPS       | Train Loss: 0.0355 | Train Acc: 0.9919
 SynthDigits| Train Loss: 0.0483 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0630 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1558 | Test  Acc: 0.9555
 SVHN       | Test  Loss: 1.2042 | Test  Acc: 0.5998
 USPS       | Test  Loss: 0.1592 | Test  Acc: 0.9511
 SynthDigits| Test  Loss: 0.6262 | Test  Acc: 0.8000
